  M   P    family  rmse_train  rmse_h100     Dstsp       PSE
----------------------------------------------------------------
 10   2   vanilla     0.16955     0.6936    11.089    0.4151
 10   2     ortho     0.16659     0.3630    10.000    0.0902

 10   3   vanilla     0.14038     0.1692    10.745    0.3166
 10   3     ortho     0.15730     1.5095    12.193    0.2090

 10   4   vanilla     0.12907     0.3652     9.714    0.1137
 10   4     ortho     0.11297     0.3064     4.526    0.0408

 10   5   vanilla     0.11411     0.2412     4.898    0.0499
 10   5     ortho     0.11047     0.1587     6.913    0.0892

 10   6   vanilla     0.09829     0.1954     5.274    0.0824
 10   6     ortho     0.09555     0.1425     5.242    0.0585

 11   2   vanilla     0.16782     0.3168    11.647    0.3315
 11   2     ortho     0.16757     0.9467    11.458    0.2469

 11   3   vanilla     0.14117     0.4546    11.262    0.2879
 11   3     ortho     0.13071     0.7608    11.783    0.3937

 11   4   vanilla     0.12856     1.0304     8.010    0.1641
 11   4     ortho     0.11003     0.8653     9.752    0.0984

 11   5   vanilla     0.10624     0.3799     7.485    0.0815
 11   5     ortho     0.10679     0.3238     7.130    0.0828

 11   6   vanilla     0.09703     0.0762     5.874    0.0780
 11   6     ortho     0.09270     0.1658     5.858    0.0721

 14   2   vanilla     0.15928     0.3038    10.878    0.3503
 14   2     ortho     0.15761     0.4088    11.633    0.3405

 14   3   vanilla     0.13324     0.8280     6.940    0.1236
 14   3     ortho     0.13240     0.5313    11.743    0.3418

 14   4   vanilla     0.11282     0.5902     8.533    0.1235
 14   4     ortho     0.10145     0.4231     5.799    0.0737

 14   5   vanilla     0.09542     0.2374     4.341    0.0645
 14   5     ortho     0.11546     0.6091     6.628    0.0716

 14   6   vanilla     0.09514     0.2775     4.546    0.0480
 14   6     ortho     0.08759     0.7607     3.559    0.0504

 15   2   vanilla     0.15918     0.6088     4.285    0.0763
 15   2     ortho     0.15946     0.2278    11.123    0.3360

 15   3   vanilla     0.12595     0.4348    10.537    0.0957
 15   3     ortho     0.12583     0.5945    10.137    0.1334

 15   4   vanilla     0.12523     0.3884    11.138    0.3820
 15   4     ortho     0.12243     0.2008     7.174    0.0722

 15   5   vanilla     0.10290     0.3362     6.602    0.0846
 15   5     ortho     0.10083     0.5676     4.744    0.0603

 15   6   vanilla     0.09884     0.5308     6.229    0.0858
 15   6     ortho     0.09283     0.1502     4.321    0.0648

