================================================================================================
M-sweep: alpha=1.0 vs alpha=0.5 (shared frozen B, 1500 epochs)
================================================================================================

  M   P   vanilla@1.0    ortho@1.0  gap@1.0    vanilla@0.5    ortho@0.5  gap@0.5
--------------------------------------------------------------------------------
  4   2       0.13837      0.04066   -70.6%        0.19693      0.06630   -66.3%
  4   3       0.10565      0.02909   -72.5%        0.14647      0.07161   -51.1%
  4   4       0.04720      0.02365   -49.9%        0.11400      0.05908   -48.2%

  5   2       0.04279      0.03528   -17.5%        0.07774      0.06063   -22.0%
  5   3       0.03089      0.02303   -25.4%        0.06913      0.04633   -33.0%
  5   4       0.06233      0.01639   -73.7%        0.08191      0.04453   -45.6%

 10   2       0.02704      0.02724    +0.7%        0.03808      0.03412   -10.4%
 10   3       0.01878      0.01565   -16.7%        0.03701      0.03024   -18.3%
 10   4       0.01543      0.01157   -25.0%        0.02796      0.01934   -30.8%

