
================  P = 2  ================
[P=2/orig] epoch    0/1500  loss=0.899227  elapsed=0.4s
[P=2/orig] epoch  100/1500  loss=0.028060  elapsed=34.9s
[P=2/orig] epoch  200/1500  loss=0.023840  elapsed=69.3s
[P=2/orig] epoch  300/1500  loss=0.023753  elapsed=104.9s
[P=2/orig] epoch  400/1500  loss=0.022937  elapsed=140.4s
[P=2/orig] epoch  500/1500  loss=0.022190  elapsed=174.9s
[P=2/orig] epoch  600/1500  loss=0.021867  elapsed=208.6s
[P=2/orig] epoch  700/1500  loss=0.022132  elapsed=243.1s
[P=2/orig] epoch  800/1500  loss=0.021347  elapsed=278.1s
[P=2/orig] epoch  900/1500  loss=0.021070  elapsed=312.2s
[P=2/orig] epoch 1000/1500  loss=0.021528  elapsed=346.4s
[P=2/orig] epoch 1100/1500  loss=0.021450  elapsed=380.5s
[P=2/orig] epoch 1200/1500  loss=0.021151  elapsed=415.4s
[P=2/orig] epoch 1300/1500  loss=0.020752  elapsed=453.1s
[P=2/orig] epoch 1400/1500  loss=0.020904  elapsed=487.5s
