
=== rmse_train_final  (mean +- std over seeds) ===
  M   P               vanilla                 ortho  gap_mean%
------------------------------------------------------------------------
 10   2     0.16851 +- 0.0067     0.16774 +- 0.0041      -0.5%
 10   3     0.14679 +- 0.0055     0.13481 +- 0.0033      -8.2%
 10   4     0.12865 +- 0.0085     0.11410 +- 0.0117     -11.3%
 10   5     0.10510 +- 0.0015     0.09801 +- 0.0087      -6.7%
 10   6     0.10077 +- 0.0031     0.09311 +- 0.0059      -7.6%

 11   2     0.16940 +- 0.0080     0.16130 +- 0.0056      -4.8%
 11   3     0.14323 +- 0.0094     0.13170 +- 0.0013      -8.0%
 11   4     0.11850 +- 0.0046     0.11469 +- 0.0036      -3.2%
 11   5     0.10463 +- 0.0011     0.10923 +- 0.0097      +4.4%
 11   6     0.09666 +- 0.0047     0.09191 +- 0.0032      -4.9%

 14   2     0.16680 +- 0.0035     0.16015 +- 0.0025      -4.0%
 14   3     0.13042 +- 0.0043     0.12638 +- 0.0038      -3.1%
 14   4     0.10937 +- 0.0089     0.10934 +- 0.0097      -0.0%
 14   5     0.10449 +- 0.0021     0.10208 +- 0.0098      -2.3%
 14   6     0.09391 +- 0.0008     0.09137 +- 0.0044      -2.7%

 15   2     0.16373 +- 0.0034     0.15856 +- 0.0026      -3.2%
 15   3     0.13770 +- 0.0026     0.12260 +- 0.0037     -11.0%
 15   4     0.11936 +- 0.0046     0.10365 +- 0.0044     -13.2%
 15   5     0.10107 +- 0.0028     0.10009 +- 0.0124      -1.0%
 15   6     0.09297 +- 0.0006     0.09007 +- 0.0004      -3.1%


=== Dstsp  (mean +- std over seeds) ===
  M   P               vanilla                 ortho  gap_mean%
------------------------------------------------------------------------
 10   2    11.10974 +- 0.2715    10.64134 +- 1.1699      -4.2%
 10   3    10.13264 +- 0.4493    10.67502 +- 2.2015      +5.4%
 10   4     8.20483 +- 1.5899     6.91731 +- 1.2288     -15.7%
 10   5     7.50875 +- 0.8259     5.47080 +- 0.9830     -27.1%
 10   6     7.14202 +- 0.8655     6.35482 +- 1.9405     -11.0%

 11   2    11.72522 +- 0.5299    10.00570 +- 1.7454     -14.7%
 11   3    11.46610 +- 1.0879     9.42828 +- 2.5659     -17.8%
 11   4     7.69006 +- 3.0389     6.17833 +- 1.0125     -19.7%
 11   5     6.70936 +- 0.4065     7.12494 +- 1.5948      +6.2%
 11   6     5.67276 +- 1.5639     4.63081 +- 1.2210     -18.4%

 14   2    11.52368 +- 0.1335    10.88598 +- 0.8823      -5.5%
 14   3     8.74834 +- 1.5680    10.86747 +- 1.4263     +24.2%
 14   4     6.40395 +- 0.2206     5.16882 +- 1.4314     -19.3%
 14   5     6.85195 +- 0.8120     4.58192 +- 2.4271     -33.1%
 14   6     4.56944 +- 0.6250     5.37455 +- 2.8969     +17.6%

 15   2     9.43029 +- 4.1427    10.00185 +- 3.2526      +6.1%
 15   3    11.07525 +- 0.7526     9.28122 +- 2.6733     -16.2%
 15   4     8.05535 +- 0.4973     4.82870 +- 1.2160     -40.1%
 15   5     7.77302 +- 1.3586     6.92541 +- 2.7168     -10.9%
 15   6     4.67205 +- 1.8635     3.37927 +- 1.2679     -27.7%


=== PSE  (mean +- std over seeds) ===
  M   P               vanilla                 ortho  gap_mean%
------------------------------------------------------------------------
 10   2     0.34418 +- 0.0596     0.35378 +- 0.0117      +2.8%
 10   3     0.22451 +- 0.1371     0.33764 +- 0.1719     +50.4%
 10   4     0.08218 +- 0.0070     0.09117 +- 0.0132     +10.9%
 10   5     0.08443 +- 0.0103     0.06941 +- 0.0139     -17.8%
 10   6     0.08439 +- 0.0094     0.07776 +- 0.0041      -7.9%

 11   2     0.34027 +- 0.0343     0.23099 +- 0.1494     -32.1%
 11   3     0.27048 +- 0.1522     0.18676 +- 0.1683     -31.0%
 11   4     0.09377 +- 0.0345     0.07138 +- 0.0151     -23.9%
 11   5     0.08161 +- 0.0110     0.08278 +- 0.0084      +1.4%
 11   6     0.06231 +- 0.0247     0.06991 +- 0.0151     +12.2%

